Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
1/1/2018,Completed - Dup,1/3/2018,18-00001958,Street Lights - All/Out,5700 N OKETO AVE,60631,1126024.048,1937047.553,41,16,10,41.98360613,-87.81188073,"(41.983606127677454, -87.81188072707522)"
1/1/2018,Completed,1/3/2018,18-00008088,Street Lights - All/Out,4156 N KEDZIE AVE,60618,1154308.287,1927538.63,33,17,16,41.95699343,-87.70811048,"(41.95699343307391, -87.70811048065795)"
1/1/2018,Completed,1/3/2018,18-00010082,Street Lights - All/Out,440 N CARPENTER ST,60642,1169374.378,1903249.272,27,12,24,41.8900272,-87.65343129,"(41.89002720190363, -87.65343129489695)"
1/1/2018,Completed,1/3/2018,18-00011686,Street Lights - All/Out,10700 S AVENUE C,60617,1204454.017,1834622.68,10,4,52,41.70087854,-87.52697049,"(41.70087854245769, -87.52697049423276)"
1/1/2018,Completed,1/3/2018,18-00011804,Street Lights - All/Out,8048 S PRINCETON AVE,60620,1175684.098,1851586.82,17,6,44,41.74812133,-87.63180838,"(41.748121326763915, -87.63180838484665)"
1/1/2018,Completed,1/3/2018,18-00013765,Street Lights - All/Out,1799 N VINE ST,60614,1171750.32,1911962.85,43,18,7,41.91388576,-87.64444887,"(41.9138857614529, -87.6444488666253)"
1/2/2018,Completed,1/3/2018,18-00015726,Street Lights - All/Out,125 S LEAVITT ST,60612,1161762.13,1899393.984,27,12,28,41.87961007,-87.68149438,"(41.879610073057414, -87.68149438403097)"
1/2/2018,Completed,1/3/2018,18-00015741,Street Lights - All/Out,1000 W AINSLIE ST,60640,1168743.557,1932964.34,48,20,3,41.9715805,-87.65488442,"(41.971580496098454, -87.65488441955053)"
1/2/2018,Completed,1/3/2018,18-00015743,Street Lights - All/Out,606 W WELLINGTON AVE,60657,1171666.826,1920205.993,44,19,6,41.93650716,-87.64451233,"(41.93650716036481, -87.64451233418173)"
1/2/2018,Completed,1/3/2018,18-00015751,Street Lights - All/Out,3023 N BROADWAY,60657,1171722.326,1920436.493,44,19,6,41.93713844,-87.64430156,"(41.93713843768616, -87.64430155837553)"
1/2/2018,Completed,1/3/2018,18-00015769,Street Lights - All/Out,1800 S CANAL ST,60616,1173416.671,1891488.307,25,12,31,41.85766548,-87.63893572,"(41.85766547559627, -87.63893572324801)"
1/2/2018,Completed,1/3/2018,18-00015774,Street Lights - All/Out,5000 N SHERIDAN RD,60640,1168726.6,1933595.613,48,20,3,41.9733131,-87.65492839,"(41.973313096616586, -87.65492839305467)"
1/2/2018,Completed,1/3/2018,18-00015784,Street Lights - All/Out,2200 W 19TH ST,60608,1162003.836,1890711.588,25,12,31,41.85577973,-87.6808492,"(41.85577972743827, -87.68084919591855)"
1/2/2018,Completed,1/3/2018,18-00015840,Street Lights - All/Out,3926 N NOTTINGHAM AVE,60634,1128028.113,1925285.396,38,16,17,41.95129579,-87.80477684,"(41.95129579440333, -87.80477684274335)"
1/2/2018,Completed,1/3/2018,18-00015844,Street Lights - All/Out,7128 W WAVELAND AVE,60634,1128093.419,1923767.06,38,16,17,41.9471282,-87.80457121,"(41.94712820058492, -87.80457120882383)"
1/2/2018,Completed,1/3/2018,18-00015864,Street Lights - All/Out,3228 N NATCHEZ AVE,60634,1132482.38,1920757.965,36,16,17,41.93879548,-87.78850858,"(41.93879547794713, -87.78850857531435)"
1/2/2018,Completed,1/3/2018,18-00022278,Street Lights - All/Out,13237 S AVENUE N,60633,1201412.329,1817786.034,10,4,55,41.65475475,-87.53867636,"(41.654754745251736, -87.53867635545073)"
1/2/2018,Completed,1/3/2018,18-00022384,Street Lights - All/Out,7757 S THROOP ST,60620,1169228.488,1853336.651,17,6,71,41.7530651,-87.65541332,"(41.75306509835118, -87.65541331841796)"
1/2/2018,Completed,1/3/2018,18-00027523,Street Lights - All/Out,7347 S DANTE AVE,60619,1187144.15,1856564.456,8,3,43,41.76151636,-87.58965779,"(41.761516360842236, -87.5896577907901)"
11/9/2017,Completed - Dup,1/4/2018,17-07581536,Street Lights - All/Out,2925 W WAVELAND AVE,60618,1156105.806,1924452.859,33,17,16,41.9484897,-87.70158587,"(41.94848970440521, -87.70158587370099)"
12/19/2017,Completed,1/4/2018,17-08464674,Street Lights - All/Out,9901 S CRILLY DR,60617,1203777.955,1840061.585,10,4,52,41.71582066,-87.52925996,"(41.71582066454261, -87.52925996145032)"
12/19/2017,Completed,1/4/2018,17-08465008,Street Lights - All/Out,403 S ABERDEEN ST,60607,1169113.851,1898336.753,25,12,28,41.87655256,-87.65453076,"(41.87655256033501, -87.65453076312659)"
12/20/2017,Completed,1/4/2018,17-08482750,Street Lights - All/Out,1055 N HOMAN AVE,60651,1153544.17,1906941.73,26,11,23,41.90048915,-87.71146879,"(41.90048914754619, -87.71146879086484)"
12/26/2017,Completed,1/4/2018,17-08597209,Street Lights - All/Out,2300 S PRINCETON AVE,60616,1174574.134,1889044.997,25,9,34,41.85093509,-87.63476015,"(41.85093508636327, -87.63476014524277)"
12/26/2017,Completed,1/4/2018,17-08611353,Street Lights - All/Out,7435 N OVERHILL AVE,60631,1124074.915,1948845.56,41,16,9,42.01601335,-87.81878871,"(42.01601334878656, -87.81878870884411)"
12/27/2017,Completed,1/4/2018,17-08618769,Street Lights - All/Out,5734 S OAK PARK AVE,60638,1132039.126,1865763.016,13,8,56,41.78788877,-87.79141353,"(41.78788877477672, -87.79141352869749)"
12/27/2017,Completed,1/4/2018,17-08626395,Street Lights - All/Out,13243 S AVENUE L,60633,1202076.91,1817715.1,10,4,55,41.65454326,-87.5362471,"(41.65454325734388, -87.53624709758785)"
12/28/2017,Completed - Dup,1/4/2018,17-08641944,Street Lights - All/Out,13200 S AVENUE L,60633,1202075.71,1817961.3,10,4,55,41.65521889,-87.53624316,"(41.655218887101, -87.53624315834784)"
12/28/2017,Completed,1/4/2018,17-08632713,Street Lights - All/Out,8735 S BEVERLY AVE,60620,1164736.389,1846659.383,21,22,71,41.73483764,-87.6720632,"(41.73483763886852, -87.67206319508101)"
12/29/2017,Completed - Dup,1/4/2018,17-08655091,Street Lights - All/Out,13200 S AVENUE L,60633,1202075.71,1817961.3,10,4,55,41.65521889,-87.53624316,"(41.655218887101, -87.53624315834784)"
12/29/2017,Completed,1/4/2018,17-08656184,Street Lights - All/Out,3412 S INDIANA AVE,60616,1178162.149,1882376.702,3,2,35,41.83255595,-87.62179428,"(41.83255595470175, -87.62179428096499)"
12/29/2017,Completed,1/4/2018,17-08671677,Street Lights - All/Out,1700 W 89TH ST,60620,1166566.309,1845670.632,21,22,71,41.73208558,-87.66538724,"(41.73208558048885, -87.66538724147796)"
12/30/2017,Completed,1/4/2018,17-08677748,Street Lights - All/Out,2210 W 83RD ST,60620,1163044.327,1849575.643,18,6,70,41.74287581,-87.67818089,"(41.74287581151864, -87.67818088580056)"
