FID	OBJECTID	SYSTEMSTOP	STREET	CROSS_ST	DIR	POS	ROUTESSTPG	OWLROUTES	CITY	STATUS	PUBLIC_NAM	POINT_X	POINT_Y
0	1	9420	87TH STREET	DREXEL	EB	NT	87	 	CHICAGO	1	87th Street & Drexel	-87.60249853	41.7366103
1	2	9421	87TH STREET	DAUPHIN/INGLESIDE	EB	NS	87	 	CHICAGO	1	87th Street & Dauphin/Ingleside	-87.601322	41.736645
2	3	3369	65TH STREET	LONG	EB	NT	165	 	BEDFORD PARK	1	65th Street & Long	-87.7566502	41.77441797
3	4	3743	LAWRENCE	LAWNDALE	EB	NS	81	N81	CHICAGO	1	Lawrence & Lawndale	-87.72080234	41.96821766
4	5	13014	61ST STREET	ELLIS	EB	NS	59	 	CHICAGO	1	61st Street & Ellis	-87.60126456	41.78404668
5	6	332	ROOSEVELT	900 WEST	WB	MB	12	 	CHICAGO	1	900 W Roosevelt	-87.64943144	41.86721921
6	7	11374	MONTROSE	WINCHESTER	WB	NS	78	 	CHICAGO	1	Montrose & Winchester	-87.67737373	41.96153108
7	8	7115	STONY ISLAND	ANTHONY	NB	NS	28	 	CHICAGO	1	Stony Island & Anthony	-87.58540157	41.74868352
8	9	6995	COMMERCIAL	102ND STREET	NB	NS	71	 	CHICAGO	1	Commercial & 102nd Street	-87.5521846	41.7099611
9	10	10818	YATES	EXCHANGE/71ST ST. (s.leg)	NB	NS	71	 	CHICAGO	1	Yates & Exchange	-87.56642039	41.76566303
10	11	9628	AUSTIN	FULTON/PLEASANT	NB	FS	91	 	CHICAGO	1	Austin & Fulton/Pleasant	-87.77475289	41.88567802
11	12	4163	ASHLAND	ORANGE LINE STATION	WB	TERM	31	 	CHICAGO	1	Ashland Orange Line Station	-87.6652554	41.83910322
12	13	10823	71ST STREET	MERRILL	WB	NS	71	 	CHICAGO	1	71st Street & Merrill	-87.572452	41.766323
13	14	14896	DIVERSEY	MILDRED	WB	NS	76	 	CHICAGO	1	Diversey & Mildred	-87.6513145	41.9327459
14	15	7519	31ST STREET	HALSTED	WB	NS	31	 	CHICAGO	1	31st Street & Halsted	-87.64612406	41.83810209
15	16	6485	WENTWORTH	26TH STREET	NB	NS	24	 	CHICAGO	1	Wentworth & 26th Street	-87.631745	41.845315
16	17	10607	GARFIELD	DAMEN	WB	FS	55	N55	CHICAGO	1	Garfield & Damen	-87.67457834	41.79396924
17	18	1262	FULLERTON	KOSTNER	WB	NS	74	 	CHICAGO	1	Fullerton & Kostner	-87.73647819	41.92445662
18	19	601	CHICAGO	STATE	WB	NS	66	N66	CHICAGO	1	Chicago & State (Red Line)	-87.62802244	41.89674104
19	20	15769	115TH STREET	HALSTED	WB	FS	115	 	CHICAGO	1	115th Street & Halsted	-87.64256228	41.68515348
20	21	508	MADISON	MENARD	WB	NS	20	N20	CHICAGO	1	Madison & Menard	-87.76966086	41.88026556
21	22	15557	GRAND	HAMLIN	WB	FS	65	 	CHICAGO	1	Grand & Hamlin	-87.7218211	41.90439661
22	23	9335	BELMONT	MENARD	WB	NS	77	N77	CHICAGO	1	Belmont & Menard	-87.77126819	41.93857548
23	24	11379	MONTROSE	WESTERN	WB	NS	78	 	CHICAGO	1	Montrose & Western	-87.68850147	41.96138618
24	25	12065	LUNT	CLARK	WB	FS	96	 	CHICAGO	1	Lunt & Clark	-87.67418355	42.00903531
25	26	15108	ONTARIO	STATE	WB	FS	125	 	CHICAGO	1	Ontario & State	-87.6283778	41.89334287
26	27	10629	55TH STREET	KEELER	WB	NS	55	 	CHICAGO	1	55th Street & Keeler	-87.72794915	41.79324074
27	28	12267	106TH STREET	AVENUE O	WB	NS	"26,100"	 	CHICAGO	1	106th Street & Avenue O	-87.53999099	41.70281547
28	29	12272	106TH STREET	MUSKEGON	WB	NS	"26,100"	 	CHICAGO	1	106th Street & Muskegon	-87.554664	41.70284488
29	30	14862	PERSHING	HALSTED	WB	FS	39	 	CHICAGO	1	Pershing & Halsted	-87.64634449	41.82353989
30	31	5086	HALSTED	47TH STREET	NB	FS	"8,44"	 	CHICAGO	1	Halsted & 47th Street	-87.645433	41.809109
31	32	9145	PULASKI	FOSTER	NB	NS	53	 	CHICAGO	1	Pulaski & Foster	-87.72810981	41.97538338
32	33	6446	WENTWORTH	71ST STREET	NB	NS	24	 	CHICAGO	1	Wentworth & 71st Street	-87.62969	41.765295
33	34	9087	PULASKI	HARRISON	NB	NS	53	N53	CHICAGO	1	Pulaski & Harrison (Blue Line)	-87.7253129	41.87337304
34	35	6767	18TH STREET	RACINE	EB	NS	18	 	CHICAGO	1	18th Street & Racine	-87.656531	41.857894
35	36	11939	93RD STREET	JEFFERY	EB	NS	"N5,95"	N5	CHICAGO	1	93rd Street & Jeffery	-87.57559134	41.72605615
36	37	4925	IRVING PARK	CLARENDON	EB	FS	"80,135,148"	 	CHICAGO	1	Irving Park & Clarendon	-87.64940981	41.95451091
37	38	12453	119TH STREET	HALSTED	EB	NS	119	 	CHICAGO	1	119th Street & Halsted	-87.64214226	41.67774285
38	39	7736	PERSHING	VINCENNES	EB	NS	39	 	CHICAGO	1	Pershing & Vincennes	-87.61278769	41.82380402
39	40	5702	IRVING PARK	KIMBALL	WB	NS	80	 	CHICAGO	1	Irving Park & Kimball	-87.71279203	41.95396828
40	41	11897	CALIFORNIA	FOSTER	NB	FS	93	 	CHICAGO	1	California & Foster	-87.69884183	41.97602576
41	42	11409	MONTROSE	LONG	WB	NS	78	 	CHICAGO	1	Montrose & Long	-87.76215122	41.96063576
42	43	11069	DIVERSEY	KEDZIE	WB	FS	76	 	CHICAGO	1	Diversey & Kedzie	-87.70730498	41.93211818
43	44	9476	87TH STREET	DOBSON	WB	NT	87	 	CHICAGO	1	87th Street & Dobson	-87.598957	41.736782
44	45	17166	MADISON	KOSTNER	WB	FS	20	N20	CHICAGO	1	Madison & Kostner	-87.73573853	41.88072053
45	46	17200	DEVON	SACRAMENTO	WB	FS	155	 	CHICAGO	1	Devon & Sacramento	-87.70469739	41.99753451
46	47	14958	MADISON	LARAMIE	WB	FS	20	N20	CHICAGO	1	Madison & Laramie	-87.7553341	41.88046755
47	48	10096	69TH STREET	HALSTED	WB	NS	67	 	CHICAGO	1	69th Street & Halsted	-87.64437737	41.76890717
48	49	4756	FOSTER	CICERO	EB	NS	92	 	CHICAGO	1	Foster & Cicero	-87.74821962	41.9752625
49	50	9186	51ST STREET	STATE	EB	NS	15	 	CHICAGO	1	51st Street & State	-87.6261143	41.80187226
50	51	15480	BELMONT	MENARD	EB	FS	77	N77	CHICAGO	1	Belmont & Menard	-87.77112736	41.93845382
51	52	6690	POLK	WOOD	EB	NS	157	 	CHICAGO	1	Polk & Wood	-87.671593	41.871467
52	53	11028	DIVERSEY	SHEFFIELD	EB	FS	76	 	CHICAGO	1	Diversey Brown Line Station	-87.65362119	41.93257845
53	54	2731	79TH STREET	LAWNDALE (west leg)	EB	NS	79	 	CHICAGO	1	79th Street & Lawndale	-87.71461124	41.74951728
54	55	315	ROOSEVELT	CLARK	EB	NS	"12,18,N62"	N62	CHICAGO	1	Roosevelt & Clark	-87.63060611	41.86723861
55	56	8160	47TH STREET	DAMEN	EB	NS	"47,48"	 	CHICAGO	1	47th Street & Damen	-87.67483486	41.80844666
56	57	14517	CHICAGO	HOMAN	EB	FS	66	N66	CHICAGO	1	Chicago & Homan	-87.71104249	41.89543299
57	58	10812	71ST STREET	YATES	EB	NS	71	 	CHICAGO	1	71st Street & Yates	-87.566643	41.7658
58	59	1721	DEVON	KEDZIE	EB	FS	155	 	CHICAGO	1	Devon & Kedzie	-87.70904957	41.9973267
59	60	12499	ADDISON	LARAMIE	EB	NS	152	 	CHICAGO	1	Addison & Laramie	-87.7570356	41.94590359
60	61	2033	DIVISION	WELLS	EB	NS	70	 	CHICAGO	1	Division & Wells	-87.63465985	41.90378504
61	62	21	JACKSON	KEELER	EB	FS	126	 	CHICAGO	1	Jackson & Keeler	-87.7302	41.876963
62	63	14506	87TH STREET	HALSTED	EB	FS	"24,87"	N87	CHICAGO	1	87th Street & Halsted	-87.64313113	41.73597648
63	64	17131	DIVISION	WOOD	EB	FS	70	 	CHICAGO	1	Division & Wood	-87.67209195	41.9031949
64	65	12055	LUNT	CLARK	EB	NS	96	 	CHICAGO	1	Lunt & Clark	-87.67409148	42.008931
65	66	12969	59TH STREET	CALIFORNIA	EB	NS	59	 	CHICAGO	1	59th Street & California	-87.69374133	41.78633562
66	67	7220	69TH STREET	KING DRIVE	EB	NS	"N5,30,67"	N5	CHICAGO	1	69th Street & King Drive	-87.61548253	41.76928055
67	68	189	HARRISON	OAKLEY	EB	NS	7	 	CHICAGO	1	Harrison & Oakley	-87.683913	41.873882
68	69	10285	CICERO	LEXINGTON	NB	NS	54	 	CHICAGO	1	Cicero & Lexington (Blue Line)	-87.744822	41.871076
69	70	14943	EWING	106TH STREET	NB	FS	30	 	CHICAGO	1	Ewing & 106th Street	-87.53519336	41.70298015
70	71	8959	DAMEN	ARGYLE	NB	NS	50	 	CHICAGO	1	Damen & Argyle	-87.67922	41.972305
71	72	17192	NARRAGANSETT	GRAND	NB	FS	86	 	CHICAGO	1	Narragansett & Grand	-87.78532602	41.92275816
72	73	17213	PULASKI	14TH STREET	NB	FS	53	 	CHICAGO	1	Pulaski & 14th Street	-87.72497574	41.8626889
73	74	17344	WESTERN	HIRSCH	NB	FS	49	N49	CHICAGO	1	Western & Hirsch	-87.68699223	41.90681176
74	75	8703	DAMEN	87TH STREET	SEB	TERM	"48,95"	 	CHICAGO	1	Damen & 87th Street Terminal	-87.67298324	41.73623458
75	76	5019	CHESTNUT	MIES VAN DER ROHE	WB	MB	"10,125"	 	CHICAGO	1	Chestnut & Mies Van Der Rohe	-87.62267307	41.89846025
76	77	15121	FOSTER	JEWEL PRKING ENT	WB	MB	92	 	CHICAGO	1	Foster & Jewel Prking Ent	-87.72934584	41.97560011
77	78	5788	HALSTED	ERIE	SB	NS	8	 	CHICAGO	1	Halsted & Erie	-87.647744	41.893451
78	79	9943	NORTHWEST HWY	NAGLE	SEB	NS	68	 	CHICAGO	1	Northwest Hwy & Nagle	-87.78782075	41.98593988
79	80	8630	79TH STREET	WESTERN	EB	NS	169	 	CHICAGO	1	79th Street & Western	-87.683067	41.750001
80	81	6511	WENTWORTH	4200 SOUTH	SB	MB	24	 	CHICAGO	1	4200 S Wentworth	-87.631253	41.81805
81	82	6496	WENTWORTH	27TH STREET	SB	NS	24	 	CHICAGO	1	Wentworth & 27th Street	-87.63194196	41.84413074
82	83	6521	WELLS	52ND STREET	SB	NS	24	 	CHICAGO	1	Wells & 52nd Street	-87.632012	41.800185
83	84	7473	31ST STREET	MORGAN	EB	NS	31	 	CHICAGO	1	31st Street & Morgan	-87.65117586	41.83791346
84	85	8093	47TH STREET	ROCKWELL	WB	NS	"47,94"	 	CHICAGO	1	47th Street & Rockwell	-87.68921338	41.80842082
85	86	9329	BELMONT	LARAMIE	WB	NS	77	N77	CHICAGO	1	Belmont & Laramie	-87.75649627	41.93877162
86	87	6823	18TH STREET	WESTERN	WB	NS	18	 	CHICAGO	1	18th Street & Western	-87.68568274	41.85732922
87	88	8782	DAMEN	63RD STREET	SB	NS	48	 	CHICAGO	1	Damen & 63rd Street	-87.67399408	41.77943582
88	89	1818	CLARK	IRVING PARK	SB	NS	22	N22	CHICAGO	1	Clark & Irving Park	-87.66243286	41.95449734
89	90	9036	PULASKI	JACKSON	SB	NS	53	N53	CHICAGO	1	Pulaski & Jackson	-87.72564233	41.87717005
90	91	5855	HALSTED	71ST STREET	SB	NS	8	 	CHICAGO	1	Halsted & 71st Street	-87.644472	41.765332
91	92	3834	LARAMIE	AUGUSTA	SB	NS	57	 	CHICAGO	1	Laramie & Augusta	-87.755751	41.898664
92	93	4687	63RD STREET	74TH AVENUE	WB	NS	"62H,63W"	 	SUMMIT	1	63rd Street & 74th Avenue	-87.80566527	41.77726123
93	94	12377	111TH STREET	SPAULDING	WB	NS	112	 	CHICAGO	1	111th Street & Spaulding	-87.70325722	41.69159059
94	95	10126	71ST STREET	LAWNDALE	WB	NS	67	 	CHICAGO	1	71st Street & Lawndale	-87.71490599	41.76424748
95	96	1758	DEVON	LAKEWOOD	WB	NS	"36,151,155"	 	CHICAGO	1	Devon & Lakewood	-87.66292168	41.99823889
96	97	10879	75TH STREET	EBERHART	WB	NS	75	 	CHICAGO	1	75th Street & Eberhart	-87.6125518	41.75851229
97	98	9302	BELMONT	LAKEWOOD (west leg)	WB	NS	77	N77	CHICAGO	1	Belmont & Lakewood	-87.66123383	41.93987483
98	99	9323	BELMONT	KILBOURN	WB	NS	77	N77	CHICAGO	1	Belmont & Kilbourn	-87.73939003	41.93897901
99	100	10892	74TH STREET	PARNELL	WB	MT	75	 	CHICAGO	1	74th Street & Parnell	-87.6384219	41.75989204
100	101	3285	63RD STREET	LEAMINGTON	WB	NT	63W	 	CHICAGO	1	63rd Street & Leamington	-87.75083652	41.77831585
101	102	17090	71ST STREET	EBERHART	WB	FS	71	 	CHICAGO	1	71st Street & Eberhart	-87.6129794	41.76582986
102	103	12181	103RD STREET	MALTA	WB	FS	103	 	CHICAGO	1	103rd Street & Malta	-87.65698072	41.70683019
103	104	12591	ADDISON	KOSTNER	WB	MT	152	 	CHICAGO	1	Addison & Kostner	-87.7371856	41.9463062
104	105	9354	BELMONT	ORIOLE	WB	NS	77	 	CHICAGO	1	Belmont & Oriole (76th Avenue)	-87.81638679	41.93801371
105	106	12193	103RD STREET	OAKLEY (west leg)	WB	NS	103	 	CHICAGO	1	103rd Street & Oakley	-87.67987548	41.70645018
106	107	6826	16TH STREET	WASHTENAW	WB	NS	18	 	CHICAGO	1	16th Street & Washtenaw	-87.69317542	41.85930576
107	108	148	JACKSON	LOTUS	WB	FS	126	 	CHICAGO	1	Jackson & Lotus	-87.76154549	41.87661212
108	109	12061	LUNT	GLENWOOD (west leg)	WB	NS	96	 	CHICAGO	1	Lunt & Glenwood	-87.66612529	42.00917098
109	110	10128	71ST STREET	SPRINGFIELD	WB	NS	67	 	CHICAGO	1	71st Street & Springfield	-87.719663	41.764157
110	111	6836	16TH STREET	SPRINGFIELD	WB	NS	18	 	CHICAGO	1	16th Street & Springfield	-87.72229925	41.85896155
111	112	497	MADISON	LAMON	WB	NS	20	N20	CHICAGO	1	Madison & Lamon	-87.7475185	41.88057059
112	113	15819	119TH STREET	WESTERN	EB	FS	119	 	BLUE ISLAND	1	119th Street & Western	-87.68030669	41.6771407
113	114	12182	103RD STREET	CHARLES	WB	NS	103	 	CHICAGO	1	103rd Street & Charles	-87.65854774	41.70680429
114	115	11898	CALIFORNIA	BERWYN	NB	NS	93	 	CHICAGO	1	California & Berwyn	-87.698904	41.977569
115	116	1522	S HYDE PARK	5200 SOUTH	NB	MB	"6,28"	 	CHICAGO	1	5200 S S Hyde Park	-87.58442446	41.80084655
116	117	5068	RACINE	61ST STREET	NB	NS	44	 	CHICAGO	1	Racine & 61st Street	-87.65451257	41.78316667
117	118	14368	DODGE	LEE	NB	NS	"93,206"	 	EVANSTON	2	Dodge & Lee	-87.69908952	42.03557743
118	119	9710	NAGLE	HAFT	NB	NS	86	 	CHICAGO	1	Nagle & Haft	-87.78743096	41.99514985
119	120	9074	PULASKI	PINK LINE STATION	NB	MB	53	 	CHICAGO	1	Pulaski Pink Line Station	-87.7246994	41.85367978
120	121	4435	ARCHER	34TH STREET	NEB	NS	62	N62	CHICAGO	1	Archer & 34th Street	-87.67391666	41.83256542
121	122	6101	ASHLAND	66TH STREET	SB	NS	9	N9	CHICAGO	1	Ashland & 66th Street	-87.66420062	41.77411854
122	123	10460	SKOKIE BLVD	MADISON	SB	NT	54A	 	SKOKIE	1	Skokie Blvd & Madison	-87.747551	42.031601
123	124	2868	VINCENNES	MONTVALE	NEB	NS	111	 	CHICAGO	1	Vincennes & Montvale	-87.66561518	41.6882486
124	125	3091	KEDZIE	56TH STREET	SB	NS	"52,52A"	 	CHICAGO	1	Kedzie & 56th Street	-87.7035844	41.79178516
125	126	2940	115TH STREET	ABERDEEN	EB	NS	115	 	CHICAGO	1	115th Street & Aberdeen	-87.64950931	41.68493495
126	127	8147	47TH STREET	ALBANY	EB	NT	47	 	CHICAGO	1	47th Street & Albany	-87.70156659	41.80810095
